,0,1,2,3,4,5,6,7,8,9,10,11
3928,a,u,r,o,c,,,,,,,
3929,a,u,p,r,,,,,,,,
3930,s,y,s,t,e,m,,,,,,
3931,l,1,,,,,,,,,,
3932,l,2,,,,,,,,,,
3933,f,e,a,t,u,r,e,s,,,,
3934,t,h,e,t,a,,,,,,,
3935,i,n,t,e,r,c,e,p,t,,,
3936,c,o,e,f,f,i,c,i,e,n,t,s
3937,a,c,c,u,r,a,c,y,,,,
3938,a,u,r,o,c,,,,,,,
3939,a,u,p,r,,,,,,,,
3940,s,y,s,t,e,m,,,,,,
3941,l,1,,,,,,,,,,
3942,l,2,,,,,,,,,,
3943,f,e,a,t,u,r,e,s,,,,
3944,t,h,e,t,a,,,,,,,
3945,i,n,t,e,r,c,e,p,t,,,
3946,c,o,e,f,f,i,c,i,e,n,t,s
3947,a,c,c,u,r,a,c,y,,,,
3948,a,u,r,o,c,,,,,,,
3949,a,u,p,r,,,,,,,,
3950,s,y,s,t,e,m,,,,,,
3951,l,1,,,,,,,,,,
3952,l,2,,,,,,,,,,
3953,f,e,a,t,u,r,e,s,,,,
3954,t,h,e,t,a,,,,,,,
3955,i,n,t,e,r,c,e,p,t,,,
3956,c,o,e,f,f,i,c,i,e,n,t,s
3957,a,c,c,u,r,a,c,y,,,,
3958,a,u,r,o,c,,,,,,,
3959,a,u,p,r,,,,,,,,
3960,s,y,s,t,e,m,,,,,,
3961,l,1,,,,,,,,,,
3962,l,2,,,,,,,,,,
3963,f,e,a,t,u,r,e,s,,,,
3964,t,h,e,t,a,,,,,,,
3965,i,n,t,e,r,c,e,p,t,,,
3966,c,o,e,f,f,i,c,i,e,n,t,s
3967,a,c,c,u,r,a,c,y,,,,
3968,a,u,r,o,c,,,,,,,
3969,a,u,p,r,,,,,,,,
3970,s,y,s,t,e,m,,,,,,
3971,l,1,,,,,,,,,,
3972,l,2,,,,,,,,,,
3973,f,e,a,t,u,r,e,s,,,,
3974,t,h,e,t,a,,,,,,,
3975,i,n,t,e,r,c,e,p,t,,,
3976,c,o,e,f,f,i,c,i,e,n,t,s
3977,a,c,c,u,r,a,c,y,,,,
3978,a,u,r,o,c,,,,,,,
3979,a,u,p,r,,,,,,,,
3980,s,y,s,t,e,m,,,,,,
3981,l,1,,,,,,,,,,
3982,l,2,,,,,,,,,,
3983,f,e,a,t,u,r,e,s,,,,
3984,t,h,e,t,a,,,,,,,
3985,i,n,t,e,r,c,e,p,t,,,
3986,c,o,e,f,f,i,c,i,e,n,t,s
3987,a,c,c,u,r,a,c,y,,,,
3988,a,u,r,o,c,,,,,,,
3989,a,u,p,r,,,,,,,,
3990,s,y,s,t,e,m,,,,,,
3991,l,1,,,,,,,,,,
3992,l,2,,,,,,,,,,
3993,f,e,a,t,u,r,e,s,,,,
3994,t,h,e,t,a,,,,,,,
3995,i,n,t,e,r,c,e,p,t,,,
3996,c,o,e,f,f,i,c,i,e,n,t,s
3997,a,c,c,u,r,a,c,y,,,,
3998,a,u,r,o,c,,,,,,,
3999,a,u,p,r,,,,,,,,
4000,s,y,s,t,e,m,,,,,,
4001,l,1,,,,,,,,,,
4002,l,2,,,,,,,,,,
4003,f,e,a,t,u,r,e,s,,,,
4004,t,h,e,t,a,,,,,,,
4005,i,n,t,e,r,c,e,p,t,,,
4006,c,o,e,f,f,i,c,i,e,n,t,s
4007,a,c,c,u,r,a,c,y,,,,
4008,a,u,r,o,c,,,,,,,
4009,a,u,p,r,,,,,,,,
4010,s,y,s,t,e,m,,,,,,
4011,l,1,,,,,,,,,,
4012,l,2,,,,,,,,,,
4013,f,e,a,t,u,r,e,s,,,,
4014,t,h,e,t,a,,,,,,,
4015,i,n,t,e,r,c,e,p,t,,,
4016,c,o,e,f,f,i,c,i,e,n,t,s
4017,a,c,c,u,r,a,c,y,,,,
4018,a,u,r,o,c,,,,,,,
4019,a,u,p,r,,,,,,,,
4020,s,y,s,t,e,m,,,,,,
4021,l,1,,,,,,,,,,
4022,l,2,,,,,,,,,,
4023,f,e,a,t,u,r,e,s,,,,
4024,t,h,e,t,a,,,,,,,
4025,i,n,t,e,r,c,e,p,t,,,
4026,c,o,e,f,f,i,c,i,e,n,t,s
4027,a,c,c,u,r,a,c,y,,,,
4028,a,u,r,o,c,,,,,,,
4029,a,u,p,r,,,,,,,,
4030,s,y,s,t,e,m,,,,,,
4031,l,1,,,,,,,,,,
4032,l,2,,,,,,,,,,
4033,f,e,a,t,u,r,e,s,,,,
4034,t,h,e,t,a,,,,,,,
4035,i,n,t,e,r,c,e,p,t,,,
4036,c,o,e,f,f,i,c,i,e,n,t,s
4037,a,c,c,u,r,a,c,y,,,,
4038,a,u,r,o,c,,,,,,,
4039,a,u,p,r,,,,,,,,
4040,s,y,s,t,e,m,,,,,,
4041,l,1,,,,,,,,,,
4042,l,2,,,,,,,,,,
4043,f,e,a,t,u,r,e,s,,,,
4044,t,h,e,t,a,,,,,,,
4045,i,n,t,e,r,c,e,p,t,,,
4046,c,o,e,f,f,i,c,i,e,n,t,s
4047,a,c,c,u,r,a,c,y,,,,
4048,a,u,r,o,c,,,,,,,
4049,a,u,p,r,,,,,,,,
4050,s,y,s,t,e,m,,,,,,
4051,l,1,,,,,,,,,,
4052,l,2,,,,,,,,,,
4053,f,e,a,t,u,r,e,s,,,,
4054,t,h,e,t,a,,,,,,,
4055,i,n,t,e,r,c,e,p,t,,,
4056,c,o,e,f,f,i,c,i,e,n,t,s
4057,a,c,c,u,r,a,c,y,,,,
4058,a,u,r,o,c,,,,,,,
4059,a,u,p,r,,,,,,,,
4060,s,y,s,t,e,m,,,,,,
4061,l,1,,,,,,,,,,
4062,l,2,,,,,,,,,,
4063,f,e,a,t,u,r,e,s,,,,
4064,t,h,e,t,a,,,,,,,
4065,i,n,t,e,r,c,e,p,t,,,
4066,c,o,e,f,f,i,c,i,e,n,t,s
4067,a,c,c,u,r,a,c,y,,,,
4068,a,u,r,o,c,,,,,,,
4069,a,u,p,r,,,,,,,,
4070,s,y,s,t,e,m,,,,,,
4071,l,1,,,,,,,,,,
4072,l,2,,,,,,,,,,
4073,f,e,a,t,u,r,e,s,,,,
4074,t,h,e,t,a,,,,,,,
4075,i,n,t,e,r,c,e,p,t,,,
4076,c,o,e,f,f,i,c,i,e,n,t,s
4077,a,c,c,u,r,a,c,y,,,,
4078,a,u,r,o,c,,,,,,,
4079,a,u,p,r,,,,,,,,
4080,s,y,s,t,e,m,,,,,,
4081,l,1,,,,,,,,,,
4082,l,2,,,,,,,,,,
4083,f,e,a,t,u,r,e,s,,,,
4084,t,h,e,t,a,,,,,,,
4085,i,n,t,e,r,c,e,p,t,,,
4086,c,o,e,f,f,i,c,i,e,n,t,s
4087,a,c,c,u,r,a,c,y,,,,
4088,a,u,r,o,c,,,,,,,
4089,a,u,p,r,,,,,,,,
4090,s,y,s,t,e,m,,,,,,
4091,l,1,,,,,,,,,,
4092,l,2,,,,,,,,,,
4093,f,e,a,t,u,r,e,s,,,,
4094,t,h,e,t,a,,,,,,,
4095,i,n,t,e,r,c,e,p,t,,,
4096,c,o,e,f,f,i,c,i,e,n,t,s
4097,a,c,c,u,r,a,c,y,,,,
4098,a,u,r,o,c,,,,,,,
4099,a,u,p,r,,,,,,,,
4100,s,y,s,t,e,m,,,,,,
4101,l,1,,,,,,,,,,
4102,l,2,,,,,,,,,,
4103,f,e,a,t,u,r,e,s,,,,
4104,t,h,e,t,a,,,,,,,
4105,i,n,t,e,r,c,e,p,t,,,
4106,c,o,e,f,f,i,c,i,e,n,t,s
4107,a,c,c,u,r,a,c,y,,,,
4108,a,u,r,o,c,,,,,,,
4109,a,u,p,r,,,,,,,,
4110,s,y,s,t,e,m,,,,,,
4111,l,1,,,,,,,,,,
4112,l,2,,,,,,,,,,
4113,f,e,a,t,u,r,e,s,,,,
4114,t,h,e,t,a,,,,,,,
4115,i,n,t,e,r,c,e,p,t,,,
4116,c,o,e,f,f,i,c,i,e,n,t,s
4117,a,c,c,u,r,a,c,y,,,,
4118,a,u,r,o,c,,,,,,,
4119,a,u,p,r,,,,,,,,
4120,s,y,s,t,e,m,,,,,,
4121,l,1,,,,,,,,,,
4122,l,2,,,,,,,,,,
4123,f,e,a,t,u,r,e,s,,,,
4124,t,h,e,t,a,,,,,,,
4125,i,n,t,e,r,c,e,p,t,,,
4126,c,o,e,f,f,i,c,i,e,n,t,s
4127,a,c,c,u,r,a,c,y,,,,
4128,a,u,r,o,c,,,,,,,
4129,a,u,p,r,,,,,,,,
4130,s,y,s,t,e,m,,,,,,
4131,l,1,,,,,,,,,,
4132,l,2,,,,,,,,,,
4133,f,e,a,t,u,r,e,s,,,,
4134,t,h,e,t,a,,,,,,,
4135,i,n,t,e,r,c,e,p,t,,,
4136,c,o,e,f,f,i,c,i,e,n,t,s
4137,a,c,c,u,r,a,c,y,,,,
4138,a,u,r,o,c,,,,,,,
4139,a,u,p,r,,,,,,,,
4140,s,y,s,t,e,m,,,,,,
4141,l,1,,,,,,,,,,
4142,l,2,,,,,,,,,,
4143,f,e,a,t,u,r,e,s,,,,
4144,t,h,e,t,a,,,,,,,
4145,i,n,t,e,r,c,e,p,t,,,
4146,c,o,e,f,f,i,c,i,e,n,t,s
4147,a,c,c,u,r,a,c,y,,,,
4148,a,u,r,o,c,,,,,,,
4149,a,u,p,r,,,,,,,,
4150,s,y,s,t,e,m,,,,,,
4151,l,1,,,,,,,,,,
4152,l,2,,,,,,,,,,
4153,f,e,a,t,u,r,e,s,,,,
4154,t,h,e,t,a,,,,,,,
4155,i,n,t,e,r,c,e,p,t,,,
4156,c,o,e,f,f,i,c,i,e,n,t,s
4157,a,c,c,u,r,a,c,y,,,,
4158,a,u,r,o,c,,,,,,,
4159,a,u,p,r,,,,,,,,
4160,s,y,s,t,e,m,,,,,,
4161,l,1,,,,,,,,,,
4162,l,2,,,,,,,,,,
4163,f,e,a,t,u,r,e,s,,,,
4164,t,h,e,t,a,,,,,,,
4165,i,n,t,e,r,c,e,p,t,,,
4166,c,o,e,f,f,i,c,i,e,n,t,s
4167,a,c,c,u,r,a,c,y,,,,
4168,a,u,r,o,c,,,,,,,
4169,a,u,p,r,,,,,,,,
4170,s,y,s,t,e,m,,,,,,
4171,l,1,,,,,,,,,,
4172,l,2,,,,,,,,,,
4173,f,e,a,t,u,r,e,s,,,,
4174,t,h,e,t,a,,,,,,,
4175,i,n,t,e,r,c,e,p,t,,,
4176,c,o,e,f,f,i,c,i,e,n,t,s
4177,a,c,c,u,r,a,c,y,,,,
4178,a,u,r,o,c,,,,,,,
4179,a,u,p,r,,,,,,,,
4180,s,y,s,t,e,m,,,,,,
4181,l,1,,,,,,,,,,
4182,l,2,,,,,,,,,,
4183,f,e,a,t,u,r,e,s,,,,
4184,t,h,e,t,a,,,,,,,
4185,i,n,t,e,r,c,e,p,t,,,
4186,c,o,e,f,f,i,c,i,e,n,t,s
4187,a,c,c,u,r,a,c,y,,,,
4188,a,u,r,o,c,,,,,,,
4189,a,u,p,r,,,,,,,,
4190,s,y,s,t,e,m,,,,,,
4191,l,1,,,,,,,,,,
4192,l,2,,,,,,,,,,
4193,f,e,a,t,u,r,e,s,,,,
4194,t,h,e,t,a,,,,,,,
4195,i,n,t,e,r,c,e,p,t,,,
4196,c,o,e,f,f,i,c,i,e,n,t,s
4197,a,c,c,u,r,a,c,y,,,,
4198,a,u,r,o,c,,,,,,,
4199,a,u,p,r,,,,,,,,
4200,s,y,s,t,e,m,,,,,,
4201,l,1,,,,,,,,,,
4202,l,2,,,,,,,,,,
4203,f,e,a,t,u,r,e,s,,,,
4204,t,h,e,t,a,,,,,,,
4205,i,n,t,e,r,c,e,p,t,,,
4206,c,o,e,f,f,i,c,i,e,n,t,s
4207,a,c,c,u,r,a,c,y,,,,
4208,a,u,r,o,c,,,,,,,
4209,a,u,p,r,,,,,,,,
4210,s,y,s,t,e,m,,,,,,
4211,l,1,,,,,,,,,,
4212,l,2,,,,,,,,,,
4213,f,e,a,t,u,r,e,s,,,,
4214,t,h,e,t,a,,,,,,,
4215,i,n,t,e,r,c,e,p,t,,,
4216,c,o,e,f,f,i,c,i,e,n,t,s
4217,a,c,c,u,r,a,c,y,,,,
4218,a,u,r,o,c,,,,,,,
4219,a,u,p,r,,,,,,,,
4220,s,y,s,t,e,m,,,,,,
4221,l,1,,,,,,,,,,
4222,l,2,,,,,,,,,,
4223,f,e,a,t,u,r,e,s,,,,
4224,t,h,e,t,a,,,,,,,
4225,i,n,t,e,r,c,e,p,t,,,
4226,c,o,e,f,f,i,c,i,e,n,t,s
4227,a,c,c,u,r,a,c,y,,,,
4228,a,u,r,o,c,,,,,,,
4229,a,u,p,r,,,,,,,,
4230,s,y,s,t,e,m,,,,,,
4231,l,1,,,,,,,,,,
4232,l,2,,,,,,,,,,
4233,f,e,a,t,u,r,e,s,,,,
4234,t,h,e,t,a,,,,,,,
4235,i,n,t,e,r,c,e,p,t,,,
4236,c,o,e,f,f,i,c,i,e,n,t,s
4237,a,c,c,u,r,a,c,y,,,,
4238,a,u,r,o,c,,,,,,,
4239,a,u,p,r,,,,,,,,
4240,s,y,s,t,e,m,,,,,,
4241,l,1,,,,,,,,,,
4242,l,2,,,,,,,,,,
4243,f,e,a,t,u,r,e,s,,,,
4244,t,h,e,t,a,,,,,,,
4245,i,n,t,e,r,c,e,p,t,,,
4246,c,o,e,f,f,i,c,i,e,n,t,s
4247,a,c,c,u,r,a,c,y,,,,
4248,a,u,r,o,c,,,,,,,
4249,a,u,p,r,,,,,,,,
4250,s,y,s,t,e,m,,,,,,
4251,l,1,,,,,,,,,,
4252,l,2,,,,,,,,,,
4253,f,e,a,t,u,r,e,s,,,,
4254,t,h,e,t,a,,,,,,,
4255,i,n,t,e,r,c,e,p,t,,,
4256,c,o,e,f,f,i,c,i,e,n,t,s
4257,a,c,c,u,r,a,c,y,,,,
4258,a,u,r,o,c,,,,,,,
4259,a,u,p,r,,,,,,,,
4260,s,y,s,t,e,m,,,,,,
4261,l,1,,,,,,,,,,
4262,l,2,,,,,,,,,,
4263,f,e,a,t,u,r,e,s,,,,
4264,t,h,e,t,a,,,,,,,
4265,i,n,t,e,r,c,e,p,t,,,
4266,c,o,e,f,f,i,c,i,e,n,t,s
4267,a,c,c,u,r,a,c,y,,,,
4268,a,u,r,o,c,,,,,,,
4269,a,u,p,r,,,,,,,,
4270,s,y,s,t,e,m,,,,,,
4271,l,1,,,,,,,,,,
4272,l,2,,,,,,,,,,
4273,f,e,a,t,u,r,e,s,,,,
4274,t,h,e,t,a,,,,,,,
4275,i,n,t,e,r,c,e,p,t,,,
4276,c,o,e,f,f,i,c,i,e,n,t,s
4277,a,c,c,u,r,a,c,y,,,,
4278,a,u,r,o,c,,,,,,,
4279,a,u,p,r,,,,,,,,
4280,s,y,s,t,e,m,,,,,,
4281,l,1,,,,,,,,,,
4282,l,2,,,,,,,,,,
4283,f,e,a,t,u,r,e,s,,,,
4284,t,h,e,t,a,,,,,,,
4285,i,n,t,e,r,c,e,p,t,,,
4286,c,o,e,f,f,i,c,i,e,n,t,s
4287,a,c,c,u,r,a,c,y,,,,
4288,a,u,r,o,c,,,,,,,
4289,a,u,p,r,,,,,,,,
4290,s,y,s,t,e,m,,,,,,
4291,l,1,,,,,,,,,,
4292,l,2,,,,,,,,,,
4293,f,e,a,t,u,r,e,s,,,,
4294,t,h,e,t,a,,,,,,,
4295,i,n,t,e,r,c,e,p,t,,,
4296,c,o,e,f,f,i,c,i,e,n,t,s
4297,a,c,c,u,r,a,c,y,,,,
4298,a,u,r,o,c,,,,,,,
4299,a,u,p,r,,,,,,,,
4300,s,y,s,t,e,m,,,,,,
4301,l,1,,,,,,,,,,
4302,l,2,,,,,,,,,,
4303,f,e,a,t,u,r,e,s,,,,
4304,t,h,e,t,a,,,,,,,
4305,i,n,t,e,r,c,e,p,t,,,
4306,c,o,e,f,f,i,c,i,e,n,t,s
4307,a,c,c,u,r,a,c,y,,,,
4308,a,u,r,o,c,,,,,,,
4309,a,u,p,r,,,,,,,,
4310,s,y,s,t,e,m,,,,,,
4311,l,1,,,,,,,,,,
4312,l,2,,,,,,,,,,
4313,f,e,a,t,u,r,e,s,,,,
4314,t,h,e,t,a,,,,,,,
4315,i,n,t,e,r,c,e,p,t,,,
4316,c,o,e,f,f,i,c,i,e,n,t,s
4317,a,c,c,u,r,a,c,y,,,,
4318,a,u,r,o,c,,,,,,,
4319,a,u,p,r,,,,,,,,
4320,s,y,s,t,e,m,,,,,,
4321,l,1,,,,,,,,,,
4322,l,2,,,,,,,,,,
4323,f,e,a,t,u,r,e,s,,,,
4324,t,h,e,t,a,,,,,,,
4325,i,n,t,e,r,c,e,p,t,,,
4326,c,o,e,f,f,i,c,i,e,n,t,s
4327,a,c,c,u,r,a,c,y,,,,
4328,a,u,r,o,c,,,,,,,
4329,a,u,p,r,,,,,,,,
4330,s,y,s,t,e,m,,,,,,
4331,l,1,,,,,,,,,,
4332,l,2,,,,,,,,,,
4333,f,e,a,t,u,r,e,s,,,,
4334,t,h,e,t,a,,,,,,,
4335,i,n,t,e,r,c,e,p,t,,,
4336,c,o,e,f,f,i,c,i,e,n,t,s
4337,a,c,c,u,r,a,c,y,,,,
4338,a,u,r,o,c,,,,,,,
4339,a,u,p,r,,,,,,,,
4340,s,y,s,t,e,m,,,,,,
4341,l,1,,,,,,,,,,
4342,l,2,,,,,,,,,,
4343,f,e,a,t,u,r,e,s,,,,
4344,t,h,e,t,a,,,,,,,
4345,i,n,t,e,r,c,e,p,t,,,
4346,c,o,e,f,f,i,c,i,e,n,t,s
4347,a,c,c,u,r,a,c,y,,,,
4348,a,u,r,o,c,,,,,,,
4349,a,u,p,r,,,,,,,,
4350,s,y,s,t,e,m,,,,,,
4351,l,1,,,,,,,,,,
4352,l,2,,,,,,,,,,
4353,f,e,a,t,u,r,e,s,,,,
4354,t,h,e,t,a,,,,,,,
4355,i,n,t,e,r,c,e,p,t,,,
4356,c,o,e,f,f,i,c,i,e,n,t,s
4357,a,c,c,u,r,a,c,y,,,,
4358,a,u,r,o,c,,,,,,,
4359,a,u,p,r,,,,,,,,
4360,s,y,s,t,e,m,,,,,,
4361,l,1,,,,,,,,,,
4362,l,2,,,,,,,,,,
4363,f,e,a,t,u,r,e,s,,,,
4364,t,h,e,t,a,,,,,,,
4365,i,n,t,e,r,c,e,p,t,,,
4366,c,o,e,f,f,i,c,i,e,n,t,s
4367,a,c,c,u,r,a,c,y,,,,
4368,a,u,r,o,c,,,,,,,
4369,a,u,p,r,,,,,,,,
4370,s,y,s,t,e,m,,,,,,
4371,l,1,,,,,,,,,,
4372,l,2,,,,,,,,,,
4373,f,e,a,t,u,r,e,s,,,,
4374,t,h,e,t,a,,,,,,,
4375,i,n,t,e,r,c,e,p,t,,,
4376,c,o,e,f,f,i,c,i,e,n,t,s
4377,a,c,c,u,r,a,c,y,,,,
4378,a,u,r,o,c,,,,,,,
4379,a,u,p,r,,,,,,,,
4380,s,y,s,t,e,m,,,,,,
4381,l,1,,,,,,,,,,
4382,l,2,,,,,,,,,,
4383,f,e,a,t,u,r,e,s,,,,
4384,t,h,e,t,a,,,,,,,
4385,i,n,t,e,r,c,e,p,t,,,
4386,c,o,e,f,f,i,c,i,e,n,t,s
4387,a,c,c,u,r,a,c,y,,,,
4388,a,u,r,o,c,,,,,,,
4389,a,u,p,r,,,,,,,,
4390,s,y,s,t,e,m,,,,,,
4391,l,1,,,,,,,,,,
4392,l,2,,,,,,,,,,
4393,f,e,a,t,u,r,e,s,,,,
4394,t,h,e,t,a,,,,,,,
4395,i,n,t,e,r,c,e,p,t,,,
4396,c,o,e,f,f,i,c,i,e,n,t,s
4397,a,c,c,u,r,a,c,y,,,,
4398,a,u,r,o,c,,,,,,,
4399,a,u,p,r,,,,,,,,
4400,s,y,s,t,e,m,,,,,,
4401,l,1,,,,,,,,,,
4402,l,2,,,,,,,,,,
4403,f,e,a,t,u,r,e,s,,,,
4404,t,h,e,t,a,,,,,,,
4405,i,n,t,e,r,c,e,p,t,,,
4406,c,o,e,f,f,i,c,i,e,n,t,s
4407,a,c,c,u,r,a,c,y,,,,
4408,a,u,r,o,c,,,,,,,
4409,a,u,p,r,,,,,,,,
4410,s,y,s,t,e,m,,,,,,
4411,l,1,,,,,,,,,,
4412,l,2,,,,,,,,,,
4413,f,e,a,t,u,r,e,s,,,,
4414,t,h,e,t,a,,,,,,,
4415,i,n,t,e,r,c,e,p,t,,,
4416,c,o,e,f,f,i,c,i,e,n,t,s
4417,a,c,c,u,r,a,c,y,,,,
4418,a,u,r,o,c,,,,,,,
4419,a,u,p,r,,,,,,,,
4420,s,y,s,t,e,m,,,,,,
4421,l,1,,,,,,,,,,
4422,l,2,,,,,,,,,,
4423,f,e,a,t,u,r,e,s,,,,
4424,t,h,e,t,a,,,,,,,
4425,i,n,t,e,r,c,e,p,t,,,
4426,c,o,e,f,f,i,c,i,e,n,t,s
4427,a,c,c,u,r,a,c,y,,,,
4428,a,u,r,o,c,,,,,,,
4429,a,u,p,r,,,,,,,,
4430,s,y,s,t,e,m,,,,,,
4431,l,1,,,,,,,,,,
4432,l,2,,,,,,,,,,
4433,f,e,a,t,u,r,e,s,,,,
4434,t,h,e,t,a,,,,,,,
4435,i,n,t,e,r,c,e,p,t,,,
4436,c,o,e,f,f,i,c,i,e,n,t,s
4437,a,c,c,u,r,a,c,y,,,,
4438,a,u,r,o,c,,,,,,,
4439,a,u,p,r,,,,,,,,
4440,s,y,s,t,e,m,,,,,,
4441,l,1,,,,,,,,,,
4442,l,2,,,,,,,,,,
4443,f,e,a,t,u,r,e,s,,,,
4444,t,h,e,t,a,,,,,,,
4445,i,n,t,e,r,c,e,p,t,,,
4446,c,o,e,f,f,i,c,i,e,n,t,s
4447,a,c,c,u,r,a,c,y,,,,
4448,a,u,r,o,c,,,,,,,
4449,a,u,p,r,,,,,,,,
4450,s,y,s,t,e,m,,,,,,
4451,l,1,,,,,,,,,,
4452,l,2,,,,,,,,,,
4453,f,e,a,t,u,r,e,s,,,,
4454,t,h,e,t,a,,,,,,,
4455,i,n,t,e,r,c,e,p,t,,,
4456,c,o,e,f,f,i,c,i,e,n,t,s
4457,a,c,c,u,r,a,c,y,,,,
4458,a,u,r,o,c,,,,,,,
4459,a,u,p,r,,,,,,,,
4460,s,y,s,t,e,m,,,,,,
4461,l,1,,,,,,,,,,
4462,l,2,,,,,,,,,,
4463,f,e,a,t,u,r,e,s,,,,
4464,t,h,e,t,a,,,,,,,
4465,i,n,t,e,r,c,e,p,t,,,
4466,c,o,e,f,f,i,c,i,e,n,t,s
4467,a,c,c,u,r,a,c,y,,,,
4468,a,u,r,o,c,,,,,,,
4469,a,u,p,r,,,,,,,,
4470,s,y,s,t,e,m,,,,,,
4471,l,1,,,,,,,,,,
4472,l,2,,,,,,,,,,
4473,f,e,a,t,u,r,e,s,,,,
4474,t,h,e,t,a,,,,,,,
4475,i,n,t,e,r,c,e,p,t,,,
4476,c,o,e,f,f,i,c,i,e,n,t,s
4477,a,c,c,u,r,a,c,y,,,,
4478,a,u,r,o,c,,,,,,,
4479,a,u,p,r,,,,,,,,
4480,s,y,s,t,e,m,,,,,,
4481,l,1,,,,,,,,,,
4482,l,2,,,,,,,,,,
4483,f,e,a,t,u,r,e,s,,,,
4484,t,h,e,t,a,,,,,,,
4485,i,n,t,e,r,c,e,p,t,,,
4486,c,o,e,f,f,i,c,i,e,n,t,s
4487,a,c,c,u,r,a,c,y,,,,
4488,a,u,r,o,c,,,,,,,
4489,a,u,p,r,,,,,,,,
4490,s,y,s,t,e,m,,,,,,
4491,l,1,,,,,,,,,,
4492,l,2,,,,,,,,,,
4493,f,e,a,t,u,r,e,s,,,,
4494,t,h,e,t,a,,,,,,,
4495,i,n,t,e,r,c,e,p,t,,,
4496,c,o,e,f,f,i,c,i,e,n,t,s
4497,a,c,c,u,r,a,c,y,,,,
4498,a,u,r,o,c,,,,,,,
4499,a,u,p,r,,,,,,,,
4500,s,y,s,t,e,m,,,,,,
4501,l,1,,,,,,,,,,
4502,l,2,,,,,,,,,,
4503,f,e,a,t,u,r,e,s,,,,
4504,t,h,e,t,a,,,,,,,
4505,i,n,t,e,r,c,e,p,t,,,
4506,c,o,e,f,f,i,c,i,e,n,t,s
4507,a,c,c,u,r,a,c,y,,,,
4508,a,u,r,o,c,,,,,,,
4509,a,u,p,r,,,,,,,,
4510,s,y,s,t,e,m,,,,,,
4511,l,1,,,,,,,,,,
4512,l,2,,,,,,,,,,
4513,f,e,a,t,u,r,e,s,,,,
4514,t,h,e,t,a,,,,,,,
4515,i,n,t,e,r,c,e,p,t,,,
4516,c,o,e,f,f,i,c,i,e,n,t,s
4517,a,c,c,u,r,a,c,y,,,,
4518,a,u,r,o,c,,,,,,,
4519,a,u,p,r,,,,,,,,
4520,s,y,s,t,e,m,,,,,,
4521,l,1,,,,,,,,,,
4522,l,2,,,,,,,,,,
4523,f,e,a,t,u,r,e,s,,,,
4524,t,h,e,t,a,,,,,,,
4525,i,n,t,e,r,c,e,p,t,,,
4526,c,o,e,f,f,i,c,i,e,n,t,s
4527,a,c,c,u,r,a,c,y,,,,
4528,a,u,r,o,c,,,,,,,
4529,a,u,p,r,,,,,,,,
4530,s,y,s,t,e,m,,,,,,
4531,l,1,,,,,,,,,,
4532,l,2,,,,,,,,,,
4533,f,e,a,t,u,r,e,s,,,,
4534,t,h,e,t,a,,,,,,,
4535,i,n,t,e,r,c,e,p,t,,,
4536,c,o,e,f,f,i,c,i,e,n,t,s
4537,a,c,c,u,r,a,c,y,,,,
4538,a,u,r,o,c,,,,,,,
4539,a,u,p,r,,,,,,,,
4540,s,y,s,t,e,m,,,,,,
4541,l,1,,,,,,,,,,
4542,l,2,,,,,,,,,,
4543,f,e,a,t,u,r,e,s,,,,
4544,t,h,e,t,a,,,,,,,
4545,i,n,t,e,r,c,e,p,t,,,
4546,c,o,e,f,f,i,c,i,e,n,t,s
4547,a,c,c,u,r,a,c,y,,,,
4548,a,u,r,o,c,,,,,,,
4549,a,u,p,r,,,,,,,,
4550,s,y,s,t,e,m,,,,,,
4551,l,1,,,,,,,,,,
4552,l,2,,,,,,,,,,
4553,f,e,a,t,u,r,e,s,,,,
4554,t,h,e,t,a,,,,,,,
4555,i,n,t,e,r,c,e,p,t,,,
4556,c,o,e,f,f,i,c,i,e,n,t,s
4557,a,c,c,u,r,a,c,y,,,,
4558,a,u,r,o,c,,,,,,,
4559,a,u,p,r,,,,,,,,
4560,s,y,s,t,e,m,,,,,,
4561,l,1,,,,,,,,,,
4562,l,2,,,,,,,,,,
4563,f,e,a,t,u,r,e,s,,,,
4564,t,h,e,t,a,,,,,,,
4565,i,n,t,e,r,c,e,p,t,,,
4566,c,o,e,f,f,i,c,i,e,n,t,s
4567,a,c,c,u,r,a,c,y,,,,
4568,a,u,r,o,c,,,,,,,
4569,a,u,p,r,,,,,,,,
4570,s,y,s,t,e,m,,,,,,
4571,l,1,,,,,,,,,,
4572,l,2,,,,,,,,,,
4573,f,e,a,t,u,r,e,s,,,,
4574,t,h,e,t,a,,,,,,,
4575,i,n,t,e,r,c,e,p,t,,,
4576,c,o,e,f,f,i,c,i,e,n,t,s
4577,a,c,c,u,r,a,c,y,,,,
4578,a,u,r,o,c,,,,,,,
4579,a,u,p,r,,,,,,,,
4580,s,y,s,t,e,m,,,,,,
4581,l,1,,,,,,,,,,
4582,l,2,,,,,,,,,,
4583,f,e,a,t,u,r,e,s,,,,
4584,t,h,e,t,a,,,,,,,
4585,i,n,t,e,r,c,e,p,t,,,
4586,c,o,e,f,f,i,c,i,e,n,t,s
4587,a,c,c,u,r,a,c,y,,,,
4588,a,u,r,o,c,,,,,,,
4589,a,u,p,r,,,,,,,,
